# Sources: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry-1.csv and https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry-1.csv
# Registry last updated: 2025-10-09. Samples pin policy decisions without network access.
registry,prefix,sample,globally_reachable
ipv4,0.0.0.0/8,0.0.0.1,False
ipv4,10.0.0.0/8,10.0.0.1,False
ipv4,100.64.0.0/10,100.64.0.1,False
ipv4,127.0.0.0/8,127.0.0.1,False
ipv4,169.254.0.0/16,169.254.0.1,False
ipv4,172.16.0.0/12,172.16.0.1,False
ipv4,192.0.0.0/24,192.0.0.11,False
ipv4,192.0.0.0/29,192.0.0.1,False
ipv4,192.0.0.8/32,192.0.0.8,False
ipv4,192.0.0.9/32,192.0.0.9,True
ipv4,192.0.0.10/32,192.0.0.10,True
ipv4,192.0.0.170/32,192.0.0.170,False
ipv4,192.0.0.171/32,192.0.0.171,False
ipv4,192.0.2.0/24,192.0.2.1,False
ipv4,192.31.196.0/24,192.31.196.1,True
ipv4,192.52.193.0/24,192.52.193.1,True
ipv4,192.88.99.0/24,192.88.99.1,False
ipv4,192.88.99.2/32,192.88.99.2,False
ipv4,192.168.0.0/16,192.168.0.1,False
ipv4,192.175.48.0/24,192.175.48.1,True
ipv4,198.18.0.0/15,198.18.0.1,False
ipv4,198.51.100.0/24,198.51.100.1,False
ipv4,203.0.113.0/24,203.0.113.1,False
ipv4,240.0.0.0/4,240.0.0.1,False
ipv4,255.255.255.255/32,255.255.255.255,False
ipv6,::1/128,::1,False
ipv6,::/128,::,False
ipv6,64:ff9b::/96,64:ff9b::808:808,True
ipv6,64:ff9b:1::/48,64:ff9b:1::808:808,False
ipv6,100::/64,100::1,False
ipv6,100:0:0:1::/64,100:0:0:1::1,False
ipv6,2001::/23,2001:5::1,False
ipv6,2001::/32,2001::1,False
ipv6,2001:1::1/128,2001:1::1,True
ipv6,2001:1::2/128,2001:1::2,True
ipv6,2001:1::3/128,2001:1::3,True
ipv6,2001:2::/48,2001:2::1,False
ipv6,2001:3::/32,2001:3::1,True
ipv6,2001:4:112::/48,2001:4:112::1,True
ipv6,2001:10::/28,2001:10::1,False
ipv6,2001:20::/28,2001:20::1,True
ipv6,2001:30::/28,2001:30::1,True
ipv6,2001:db8::/32,2001:db8::1,False
ipv6,2002::/16,2002::1,False
ipv6,2620:4f:8000::/48,2620:4f:8000::1,True
ipv6,3fff::/20,3fff::1,False
ipv6,5f00::/16,5f00::1,False
ipv6,fc00::/7,fc00::1,False
ipv6,fe80::/10,fe80::1,False
